model,F1,F2,F3,F4
distilgpt2,0.5665240744749706,101.6,17.35434623756635,0.0
distilgpt2,0.4422886833548546,107.66666666666667,15.027382414187183,0.0
distilgpt2,0.5987148796518643,100.8,16.351146748775758,0.0
distilgpt2,0.4878921965758006,113.0,17.925772879665004,0.0
flan_t5,0.3325925409793854,13.533333333333333,25.107413690426625,0.0
flan_t5,0.3734384164214134,17.933333333333334,29.419872346577048,0.0
flan_t5,0.3842459450165431,16.866666666666667,29.092648937871267,0.0
flan_t5,0.38155968189239503,15.4,28.19645367772337,0.0047619047619047615
